title,price,url,date,text
"Тягач Scania 340, 4х2, XL, спальники",не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_tyagach_Scania_340_4h2_XL_spalniki_8148283,14      июля,"Тягач Scania 340, 4х2, XL, спальники    Наименование: Тягач  Тип: Седельный  Вид: Шоссейный  Марка / модель: SCANIA P114..."
MAN TGS 26.440 б/у седельный тягач 6х4 с НДС,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_MAN_TGS_26440_bu_sedelnyy_tyagach_6h4_s_nds_7917255,10      июля,Седельный тягач MAN TGS 26.
Седельный тягач 6х2 MAN TGX 28.460 XXL б/у без пробега по РФ с НДС,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_6h2_MAN_TGX_28460_XXL_bu_bez_probega_po_rf_s_nds_7267118,10      июля,Седельный тягач MAN TGX 28.
Седельный тягач 6х4 Renault C440 б/у 2018 года с НДС,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_6h4_Renault_C440_bu_2018_goda_s_nds_7300282,10      июля,Седельный тягач Renault C440  - Год выпуска: 2018  - Пробег: 850 000 км  - Колёсная формула: 6х4  - Евро 5  - Мощность...
RENAULT C450 б/у седельный тягач 6х4,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_RENAULT_C450_bu_sedelnyy_tyagach_6h4_7350219,10      июля,Седельный тягач RENAULT C450  - Год выпуска: 2018  - Пробег: 657 000 км  - Колёсная формула: 6х4  - Норма токсичности: Евро...
​Седельный тягач 6x2 б/у SCANIA R420 2012 года (Скания 6х2),не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_6x2_bu_SCANIA_R420_2012_goda_skaniya_6h2_7816361,10      июля,Седельный тягач SCANIA R420  - Год выпуска: 2012  - Пробег: 841 000 км  - Колёсная формула: 6х2 (средний ленивец...
Mercedes Actros 1841 б/у тягач 4х2 с НДС,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_Mercedes_Actros_1841_bu_tyagach_4h2_s_nds_8004182,10      июля,Седельный тягач Mercedes Actros 1841  - Год выпуска: 2017  - Пробег: 625 000 км  - Колёсная формула: 4х2  - Мощность...
Тягач 4х2 б/у Mercedes Actros 1844 2017 года с НДС,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_tyagach_4h2_bu_Mercedes_Actros_1844_2017_goda_s_nds_7835079,22      июня,Седельный тягач MERCEDES ACTROS 1844  - Год выпуска: 2017  - Пробег: 749 000 км  - Колёсная формула: 4х2  - Мощность...
Тягач 4х2 б/у Mercedes Actros 1845 с НДС,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_tyagach_4h2_bu_Mercedes_Actros_1845_s_nds_7837615,22      июня,Седельный тягач Mercedes Actros 1845  - Год выпуска: 2017  - Пробег: 808 000 км  - Колёсная формула: 4х2  - Мощность...
DAF XF106.460 Super Space Cub б/у тягач 4х2 без пробега по РФ с НДС,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_DAF_XF106460_Super_Space_Cub_bu_tyagach_4h2_bez_probega_po_rf_s_nds_7917173,22      июня,​Седельный тягач DAF XF106.
Тягач 4х2 б/у MAN TGX 18.500 без пробега по РФ с НДС,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_tyagach_4h2_bu_MAN_TGX_18500_bez_probega_po_rf_s_nds_7869664,15      мая,Седельный тягач MAN TGX 18.
Volvo FH13.460 б/у седельный тягач 4х2 с НДС,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_Volvo_FH13460_bu_sedelnyy_tyagach_4h2_s_nds_7922072,15      мая,Седельный тягач VOLVO FH13.
Продам тягачи VOLVO,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_prodam_tyagachi_VOLVO_6953028,4      мая,"Продаю три седельных тягача вольво 4х4 под восстановление, либо на разборку. 2 единицы с ПТС. Подробности по телефону."
Тягач 4х2 б/у DAF XF106.460 без пробега по РФ с НДС,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_tyagach_4h2_bu_DAF_XF106460_bez_probega_po_rf_s_nds_7869609,27      апреля,Седельный тягач DAF XF106.
"Тягач Freightliner ST, 6х4, два спальника",не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_tyagach_Freightliner_ST_6h4_dva_spalnika_6857414,24      апреля,"Тягач Freightliner ST, 6х4, два спальника     Наименование: Тягач  Тип: Седельный   Вид: Шоссейный   Марка / модель..."
"Тягач International 7600, 6х4, 2009 г",не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_tyagach_International_7600_6h4_2009_g_6841150,24      апреля,"Тягач International 7600, 6х4, 2009 г       Наименование: Тягач      Тип: Седельный      Вид: Шоссейный      Марка / модель..."
"Тягач MAN 26.440 6х4, 300 т. км, 2012 г",не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_tyagach_MAN_26440_6h4_300_t_km_2012_g_3582137,24      апреля,"Седельный тягач MAN TGS-26.440 6х4, 2012 года,  пробег 290.000 км, двигатель D2066LF69, Евро - 4,  мощн. 441 л."
Седельный тягач 4x2 VOLVO FH13.460 б/у 2017 года без пробега по РФ,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_4x2_VOLVO_FH13460_bu_2017_goda_bez_probega_po_rf_7267068,11      апреля,Седельный тягач VOLVO FH13.
Седельный тягач 4x2 б/у VOLVO FH13.420 2016 г без пробега по РФ,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_4x2_bu_VOLVO_FH13420_2016_g_bez_probega_po_rf_7809219,5      апреля,Седельный тягач VOLVO FH13.
Тягач MAN TGS 26.440 и полуприцеп самосвальный Wielton NW-3,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_tyagach_MAN_TGS_26440_i_polupricep_samosvalnyy_Wielton_NW3_5516564,16      марта,Седельный тягач MAN TGS 26.
Тягач MAN TGS 26.440 и полуприцеп самосвальный Wielton NW-3,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_tyagach_MAN_TGS_26440_i_polupricep_samosvalnyy_Wielton_NW3_6832644,16      марта,Седельный тягач MAN TGS 26.440  - Год выпуска: 2018  - Пробег: 655 000 км.
Седельный тягач 6x2 DAF XF 106.530 б/у без пробега по РФ,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_6x2_DAF_XF_106530_bu_bez_probega_po_rf_7256464,16      марта,Седельный тягач DAF XF 106.
Седельный тягач 4x2 DAF XF 106.530 б/у без пробега по РФ,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_4x2_DAF_XF_106530_bu_bez_probega_po_rf_7256522,16      марта,Седельный тягач DAF XF 106.
Седельный тягач 6х2 б/у DAF XF 106.440 из Европы,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_6h2_bu_DAF_XF_106440_iz_evropy_7346104,16      марта,Седельный тягач DAF XF 106.
Scania R480 б/у седельный тягач 4х2 Скания Р480,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_Scania_R480_bu_sedelnyy_tyagach_4h2_skaniya_r480_7380431,16      марта,Седельный тягач Scania R480  - Год выпуска: 2009  - Пробег: 1 356 000 км  - Колёсная формула: 4х2  - Мощность двигателя: 480...
Седельный тягач 4х2 КамАЗ 5490-S5 и цементовоз 32 куба Baryval CB/3AL-32,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_4h2_kamaz_5490S5_i_cementovoz_32_kuba_Baryval_CB3AL32_7621439,16      марта,Седельный тягач КамАЗ 5490-S5  - Год выпуска: 2018  - Пробег: 720 000 км  - Колёсная формула: 4х2  - Мощность двигателя: 401...
Запчасти для самосвалов и тягачей.,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_zapchasti_zapchasti_dlya_samosvalov_i_tyagachey_262918,9      марта,"...тягачей, самосвалов, прицепов и другого коммерческого транспорта.    Детали двигателей, кпп, мостов и трансмиссий."
Седельный тягач 4х2 MAN TGX 18.420 б/у без пробега по РФ,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_4h2_MAN_TGX_18420_bu_bez_probega_po_rf_7256524,9      марта,Седельный тягач MAN TGX 18.
Седельный тягач 4х2 б/у VOLVO FH13.500 без пробега по РФ,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_4h2_bu_VOLVO_FH13500_bez_probega_po_rf_7809198,9      марта,Седельный тягач VOLVO FH13.
Седельный тягач 4х2 VOLVO FH13.500 б/у без пробега по РФ,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_4h2_VOLVO_FH13500_bu_bez_probega_po_rf_7256551,6      марта,Седельный тягач VOLVO FH13.
возьму в аренду тягач с водителем,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_vozmu_v_arendu_tyagach_s_voditelem_7543649,25      февраля,возьму в аренду тягач с водителем для работы по городу
Седельный тягач 6х4 Mercedes Arocs 3348S б/у 2019 года,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_6h4_Mercedes_Arocs_3348S_bu_2019_goda_7257818,19      февраля,Седельный тягач Mercedes Arocs 3348S  - Год выпуска: 2019  - Пробег: 350 000 км  - Колёсная формула: 6х4  - Мощность...
Седельный тягач 4х2 Renault Premium 320 DXI б/у 2008 года,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_4h2_Renault_Premium_320_DXI_bu_2008_goda_7300880,19      февраля,Седельный тягач RENAULT PREMIUM 320 DXI  - Год выпуска: 2008  - Пробег: 400 000 км (с 2015 г.
Седельный тягач 4х2 MAN TGS 19.400 б/у,не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_gruzoviki_sedelnyy_tyagach_4h2_MAN_TGS_19400_bu_7300951,22      января,Седельный тягач MAN TGS 19.
"Грузовые шины на тягач 315 70 22,5 новые (Тайланд)",не указана,https://spb.kupiprodai.ru/auto/sanktpeterburg_zapchasti_gruzovye_shiny_na_tyagach_315_70_225_novye_tayland_7420759,5      декабря,Грузовые шины новые    Шины на камаз    Шины на ведущую ось    Шины на тягач    Шины на самосвал    315/70R22.
